v_cmd,omega_m,omega_L,ratio_i,q_A
1.0,0.9989748254214248,0.24147209547176934,4.13701973915332,0.1172008295537009
4.444444444444445,4.446608461033215,1.0757572521735075,4.133468263447995,0.14408484623218434
7.888888888888889,7.890676742325181,1.9087716972595812,4.133902841106564,0.20908534175862262
11.333333333333334,11.345592945272273,2.7413530410291584,4.138683626466773,0.28733704095621676
14.777777777777779,14.794851488537258,3.570387975866759,4.143765772386574,0.39335489531340834
18.22222222222222,18.226616697652,4.38748117470582,4.154232456364691,0.5357915869182241
21.666666666666668,21.665887208111517,5.221303682428049,4.149516773181882,0.6949155878902009
25.111111111111114,25.119473457336426,6.048735437961454,4.152847105807986,0.871579073369503
28.555555555555557,28.56675263123365,6.870382888617786,4.157956418784228,1.0665461313356912
32.0,32.01019887164631,7.681601097323637,4.167125898115049,1.2870721157673186
