f_hz,mag,mag_db,phase_deg,re,im,n,drift
0.5,28.592470803397628,29.12503372619883,-31.099302279094744,24.48297146399021,-14.768665983648857,10444,-0.3209129312827659
0.5859557077796768,30.483797599807314,29.681381388459542,-90.50110707286198,-0.2666069293670042,-30.4826317244957,8683,0.241039174029335
0.6866881829591639,34.567158745489216,30.77327368175566,-28.73263872931106,30.310989541857346,-16.617231319605143,7277,2.4825433373292296
0.8047377205395541,42.763070179420474,32.62137755754266,-21.88993167580593,39.67992906617045,-15.94313019685036,6295,3.2772618996148
0.9430813212315162,15.13204405978948,23.597951943050646,-119.21443246956427,-7.385640916193599,-13.207235353564995,5363,1.502498978250118
1.1052077661520117,14.07560509436985,22.96934147508192,-81.39056187322973,2.107092967254735,-13.916997449162519,4432,-3.742870793874652
1.295205597718395,13.361884427850775,22.517354221031773,-5.567411926204321,13.298852960253335,-1.2963276610495207,3805,2.6380710884797445
1.5178662254625628,7.259188775330269,17.21776180771397,-150.8073441387373,-6.337160035908979,-3.540653097263144,3401,-2.6729231158940387
1.7788047569115648,8.40911743564253,18.495008351288593,-71.67917247213984,2.6433014552952847,-7.982870001626045,2934,3.9774639550285844
2.084601600675944,5.709792619878181,15.132406698443724,-86.4048487611847,0.3580385954635822,-5.69855596850411,2473,-3.8692230050243777
2.442968412725439,7.36344764992522,17.341624071418416,-120.21334253218228,-3.705442945065966,-6.363179541239592,1755,2.5135845690790037
2.862942570723856,3.039964130204304,9.657369184370841,-60.8287500294919,1.4817441212030085,-2.6543956510304065,1483,4.1035505330058655
3.355115080722129,2.4472486897876427,7.773562093325697,-105.59718411282725,-0.6579978347248665,-2.357130670786989,1305,-4.439056854838677
3.931897663613605,2.1352842409385864,6.589113896865611,-26.611729512961244,1.909077680859601,-0.9564837677892927,1015,-3.679278888470777
4.607835756799935,2.1245100970127413,6.5451759894379125,3.5913267682533956,2.1203380308222117,0.1330781250171275,885,-3.2345905615930395
5.399975324416415,4.112270354957637,12.281633179114916,43.22506171801654,2.9964844630681586,2.8163537304206905,748,5.120421307029896
6.328292726422421,3.841850439262433,11.690809081063653,73.01782934964659,1.122105035662039,3.6743292022630256,680,4.6740559537607975
7.416198487095661,6.321958469416304,16.017032770398416,86.93093921741531,0.3384751535880648,6.312891053980582,599,4.095811403245536
8.691127667081414,6.685752888965177,16.503006413296966,59.50164586216585,3.3931105965391852,5.760737120539324,484,3.7935392097403193
10.185231727136438,9.285022913441692,19.355659596451922,55.035109430363775,5.32100868136325,7.609107511133889,520,-4.531992986831225
11.936189331148503,10.541873002590867,20.458355599737335,61.120197044773285,5.09144791155318,9.230831195872609,511,-4.288479030322049
13.988156535450697,11.653649847187722,21.32923929736037,55.873697330985976,6.537919818278076,9.646924857726694,514,-3.73257910220134
16.39288032652584,14.954732193537529,23.495572803501517,52.113586731133175,9.183672099667687,11.80271925219833,479,-3.5423407243713325
19.21100358855398,18.826647912891094,25.495460014216857,44.303715029023756,13.47324252025742,13.149692301582347,574,-3.2622712969205407
22.51359440977812,22.210646849636394,26.93122413732423,34.09772330377312,18.392250444864747,12.451423896592534,573,1.1906869834503035
26.383938294092225,29.441414528528856,29.379173441554215,27.378063969047982,26.143726152478823,13.538924340761524,508,4.892947919262624
30.919638474260257,32.49362705528305,30.23596383119415,23.478192486314306,29.80353741260449,12.945460860985486,533,4.600247022407575
36.235077292953775,48.88380130214882,33.7832994031014,10.007632268701782,48.14001534293054,8.494995734570942,554,4.044051569453955
42.464300723288055,77.47456968748219,37.78318345482636,-12.30774935686203,75.69395249732943,-16.514675400763096,524,3.684534173910804
49.76439877136659,129.00763858709166,42.21230851575388,-59.21642921980958,66.02566335200115,-110.83132496160945,513,-4.647275483939112
58.31946700861235,121.16006808019803,41.667190173844624,-136.3128775376224,-87.61356008933791,-83.68767045192618,573,-4.239573227960584
68.34524913672996,58.687638369483096,35.37093267119231,176.39710056945427,-58.57164516671314,3.6879913031180425,517,-3.734748263756208
80.09457766258186,29.654027526276753,29.441673727126183,154.51088752220596,-26.767714292411043,12.761301661234754,582,-3.5660400043114007
93.86374988718484,17.172311015594378,24.696574911700363,134.3231593911398,-11.998371271016127,12.285249385305894,596,-3.240906515849203
109.99999999999997,8.019241408541815,18.082665750555314,114.61489865284243,-3.340152036520932,7.290515560740323,552,3.327002388719168
