v_cmd,omega,torque,torque_std,q_A
-32.0,-32.07049577961797,-0.03795216710347196,0.009410072313739531,-1.2600397573864979
-30.13529411764706,-30.163083055654468,-0.03440927639278262,0.00947066056500385,-1.1443804666465027
-28.27058823529412,-28.27185044309641,-0.031222994168522863,0.009401730348058582,-1.0367591726359817
-26.405882352941177,-26.427091905345087,-0.027433018062425697,0.01010904220079875,-0.9117546091908993
-24.541176470588237,-24.53462291700871,-0.025099342396100534,0.009403580465901779,-0.8332267000165048
-22.676470588235293,-22.660403205838264,-0.022461471381682627,0.009578484583147544,-0.7464685957049179
-20.811764705882354,-20.788419756826876,-0.019714477871644806,0.010080759726829746,-0.6564598920385
-18.947058823529414,-18.928076423447706,-0.017207335816637765,0.008983348483840936,-0.5698430955102406
-17.08235294117647,-17.072225603994845,-0.015347247740333747,0.008134581422286782,-0.5094112694864853
-15.21764705882353,-15.21328649106233,-0.01261283954696884,0.0075478745859354135,-0.41813995749588406
-13.352941176470589,-13.357274267871308,-0.01061807463764237,0.0070522320992343675,-0.35416027954291535
-11.488235294117647,-11.496859955685332,-0.008814358238271166,0.006244287203809083,-0.2946711290193753
-9.623529411764707,-9.612582957850094,-0.00736972306909972,0.005747120679664372,-0.24473593003017194
-7.758823529411765,-7.7579703310261605,-0.006391077662362438,0.004954982554190201,-0.2110273460112259
-5.894117647058823,-5.893016074833117,-0.005142760659990715,0.004084319812026285,-0.1707708753333493
-4.029411764705882,-4.035353493272212,-0.0037890134506953325,0.0034246607090452448,-0.12523134290422763
-2.164705882352941,-2.1671445567535,-0.003044842949432733,0.002850269449535766,-0.10053979717437292
-0.3,-0.32597267627716064,-0.0027850885455859287,0.003650710391239697,-0.09179220168330306
0.3,0.30412133860847224,0.003665888613202538,0.0023361965879635017,0.11933554313028813
2.164705882352941,2.181577091631682,0.0029877879459390914,0.002530831611123584,0.09915901999937295
4.029411764705882,4.033600999597917,0.004072444008144023,0.0028896563425861803,0.13601387651400282
5.894117647058823,5.890495956989756,0.005447107130043923,0.0035905219752190975,0.1820497308253196
7.758823529411765,7.759905483041491,0.0063046045006069475,0.00445164141331257,0.20656191309761116
9.623529411764707,9.628072097238187,0.007953091935922734,0.005124102089144858,0.2631747280439901
11.488235294117647,11.493503254053374,0.009104538506405798,0.005563527942049442,0.3012235293055043
13.352941176470589,13.35680699766728,0.010697404168141371,0.006288380713404951,0.35286027488289723
15.21764705882353,15.217557291014005,0.013052023447587761,0.0068234965076959175,0.43355228854723643
17.08235294117647,17.080844215359456,0.014878432293851256,0.007119775111407042,0.49491298984785437
18.947058823529414,18.93445213981297,0.01744119634879652,0.008559510251546358,0.5785472433001775
20.811764705882354,20.804967475659918,0.01971253910196695,0.00950433730742942,0.6536742265122536
22.676470588235293,22.678952251468694,0.02226171432994306,0.007819975203189286,0.7382889302061485
24.541176470588237,24.569289724207135,0.024302212993249233,0.008171727934495027,0.8075881557054981
26.405882352941177,26.413788060259716,0.027966753678141974,0.008977620060948602,0.9276589581882376
28.27058823529412,28.279734494998984,0.031137760298756454,0.008126075087190106,1.0350766098337476
30.13529411764706,30.14236362439366,0.03451422983212091,0.008185855809202502,1.14730304619516
32.0,32.00517132315218,0.0382807174276921,0.008164251162952805,1.2706311391795286
